Id;codigo;grupo;subgrupo;regiao;item;preco;descricaosimples;descricaocompleta;imagem;imagem_url;ativo;ativoC;obs1;obs2;obs3
1;129;Entradas;;;Batata Frita;23;"Batata McCain 260g, molho da casa e queijo.";260g de batata McCain® acompanhadas com molho da casa e raspas de queijo.;batata-frita.jpg;;1;1;;;
2;75;Entradas;;;Bolinha de Carne Seca;34;6 bolinhas recheadas com carne seca e molho.;"06 unidades de massa leve e dourada, recheadas com carne seca e acompanhadas com molho da casa.";bolinha-de-carne-seca.jpg;;1;1;;;
3;155;Entradas;;;Bruschetta Da Casa;32;"Pão italiano, tomate, manjericão, parmesão e pesto.";"Fatias de pão italiano tostadas, cobertas por tomate fresco, manjericão, raspas de alho, parmesão e molho pesto.";bruschetta-da-casa.jpg;;1;1;;;
4;181;Entradas;;;Burrata;71;"Burrata cremosa, tomates confitados, pesto e torradas.";"Queijo fresco de massa cremosa, servido com tomates confitados, pesto de manjericão e torradas frescas.";burrata.jpg;;1;1;;;
5;226;Entradas;;;Camarão Tetê;54;6 camarões empanados na panko com cream cheese.;"06 unidades de camarões grandes, empanados na farinha panko e servidos na taça com cream cheese.";camarao-tete.jpg;;1;1;;;
6;227;Entradas;;;Carpaccio;69;"Carpaccio de carne com mostarda, mel e parmesão.";"Fatias finas de carne bovina, temperadas com mostarda, mel e queijo parmesão.";carpaccio.jpg;;1;1;;;
7;69;Entradas;;;Crispy de Queijo;33;8 croquetes de queijo Gouda com geleia de pimenta.;08 unidades de queijo gouda empanadas e servidas com geleia de pimenta.;crispy-de-queijo.jpg;;1;1;;;
8;243;Entradas;;;Panelinha de Filé;39;"Filé trinchado, molho queijo do reino e pão italiano.";Filé trinchado com molho de queijo do reino e fatias de pão italiano.;panelinha-de-file.jpg;;1;1;;;
9;252;Entradas;;;Panelinha Teixeira;45;"Filé mignon em tiras, batata frita e cebola roxa.";"Filé mignon em tiras, batata frita e cebola roxa temperada com ervas e azeite.";panelinha-teixeira.jpg;;1;1;;;
10;182;Entradas;;;Pão Antônia;52;Pão italiano recheado com filé mignon e roquefort.;Pão italiano recheado com tiras de filé mignon e molho roquefort.;pao-antonia.jpg;;1;1;;;
11;221;Entradas;;;Pasteizinhos;34;12 pasteis (carne seca ou camarão) com molho.;12 unidades acompanhos com molho da casa. Sabor carne seca ou camarão.;pasteizinhos.jpg;;1;1;8;;
12;102;Entradas;;;Queijo Cynthia;99;"Creme de queijo fresco, geleia de pimenta e torradas.";"Creme de queijo fresco, servido com geleia de pimenta e torradas da casa. Serve até 6 pessoas.";queijo-cynthia.jpg;;1;1;;;
13;234;Entradas;;;Rolinho de Salmão;31;"4 rolinhos de salmão, arroz e cream cheese. Molho.";"04 unidades feitos com massa artesanal e recheados com arroz, cream cheese e salmão. Acompanha molho da casa.";rolinho-de-salmao.jpg;;1;1;;;
14;178;Entradas;;;Salada Protéica;38;"Folhas, filé mignon grelhado e raspas de parmesão.";"Mix de folhas frescas, tiras de filé mignon grelhado e raspas de queijo parmesão.";salada-proteica.jpg;;1;1;;;
15;292;Individual;;;Carbonara À Moreira;68;"Massa al dente, molho cremoso de queijo e bacon.";"Massa al dente em um cremoso molho de queijo e gema, com bacon crocante.";carbonara-a-moreira.jpg;;1;1;;;
18;135;Individual;;;Massa de Filé Mignon;74;"Filé mignon, molho à escolha e massa grano duro.";"Medalhão de filé mignon ao molho bechamel, roquefort ou pomodoro, acompanhado de massa grano duro de sua preferência.";massa-de-file-mignon.jpg;;1;1;3;4;2
19;153;Individual;;;Massa Mariah;68;"Camarões, molho à escolha e massa grano duro.";"Camarões salteados no molho bechamel, roquefort ou pomodoro, acompanhados de massa grano duro de sua preferência.";massa-mariah.jpg;;1;1;3;4;
20;244;Individual;;;Massa Negreiros;68;"Massa nera, manteiga, ervas, camarão e burrata.";"Massa Nero puxada na manteiga com ervas, finalizada com camarão e creme de Burrata.";massa-negreiros.jpg;;1;1;;;
21;183;Individual;;;Parmegiana Individual;62;"Filé parmegiana, molho pomodoro e massa à escolha.";Escalope de filé mignon empanado com molho pomodoro artesanal e queijo muçarela gratinado. Acompanha massa grano duro de sua preferência.;parmegiana-individual.jpg;;1;1;3;;
22;251;Individual;;;Polpetoni Anchieta;69;"Polpetoni recheado, molho pomodoro e talharim.";"Bolo de carne recheada com mussarela de búfala, molho pomodoro e massa talharim artesanal.";polpetoni-anchieta.jpg;;1;1;3;4;
23;186;Individual;;;Risoto Dani;76;"Risoto arbóreo, medalhão de filé e parmesão.";Risoto de arroz arbóreo acompanhado com medalhão de filé mignon e queijo parmesão.;risoto-dani.jpg;;1;1;1;2;
24;151;Individual;;;Risoto de Camarão;71;"Risoto arbóreo, camarões na manteiga e parmesão.";Risoto de arroz arbóreo acompanhado com camarões salteados na manteiga e queijo parmesão.;risoto-de-camarao.jpg;;1;1;1;;
25;152;Individual;;;Risoto de Salmão;92;"Risoto limão siciliano, salmão grelhado e parmesão.";"Risoto de arroz arbóreo com limão siciliano, acompanhado com salmão grelhado na manteiga e queijo parmesão.";risoto-de-salmao.jpg;;1;1;1;;
26;185;Individual;;;Risoto de Shitake;69;"Risoto arbóreo, filé mignon, shitake e parmesão.";"Risoto de arroz arbóreo acompanhado com tiras de filé mignon, cogumelo shitake e queijo parmesão.";risoto-de-shitake.jpg;;1;1;1;;
27;224;Individual;;;Risoto Montenegro;68;"Risoto cremoso, carne seca desfiada e parmesão.";"Risoto de arroz arbóreo cremoso, puxado com carne seca desfiada e queijo parmesão.";risoto-montenegro.jpg;;1;1;1;;
28;228;Individual;;;Risoto Yara;79;"Risoto cremoso, polvo salteado e queijo parmesão.";Risoto de arroz arbóreo cremoso puxado com queijo parmesão e polvo salteado.;risoto-yara.jpg;;1;1;1;;
29;154;Individual;;;Salmão Imperial;77;Salmão grelhado com gergelim e 2 acompanhamentos.;"Filé de salmão grelhado com crosta de gergelim. Escolha dois acompanhamentos entre batata sauté, arroz branco e legumes vaporizados.";salmao-imperial.jpg;;1;1;5;;
33;209;Compartilhar;;;Camarão Benedito'S;139;"Arroz cremoso, camarão, presunto e batata palha.";"Arroz cremoso, ervilhas, presunto, molho bechamel, queijo muçarela e parmesão gratinados e finalizado com batata palha.";camarao-beneditos.jpg;;1;1;;;
34;229;Compartilhar;;;Carne de Sol João;126;"Carne de sol desfiada, cebola roxa e arroz cremoso.";"350g de carne de sol desfiada refogada na manteiga da terra, cebola roxa e arroz cremoso.";carne-de-sol-joao.jpg;;1;1;;;
35;230;Compartilhar;;;Filé Medeiros Au Poivre;149;"2 medalhões filé mignon, molho poivre e 2 acomp.";"Dois medalhões de filé mignon envoltos em molho poivre. Para acompanhar, escolha duas opções entre batata sauté, arroz branco e legumes vaporizados.";file-medeiros-au-poivre.jpg;;1;1;5;2;
36;210;Compartilhar;;;Lasanha à Bolonhesa;124;"Lasanha artesanal, molho bolonhesa e queijos.";"Camadas de massa fresca e artesanal, intercaladas com molho à bolonhesa, queijo muçarela e parmesão.";lasanha-a-bolonhesa.jpg;;1;1;;;
37;131;Compartilhar;;;Mignon à Parmegiana;119;"Filé mignon parmegiana, arroz e purê de batatas.";"300g de escalope de filé mignon empanado, molho pomodoro artesanal e queijo gratinado. Acompanha arroz branco e purê de batatas.";mignon-a-parmegiana.jpg;;1;1;;;
38;161;Compartilhar;;;Mignon à Roquefort;131;"Tiras de filé mignon, molho roquefort, arroz e batata.";350g de tiras de filé mignon imerso em molho de queijo gorgonzola. Acompanha arroz branco e batata sauté.;mignon-a-roquefort.jpg;;1;1;;;
39;190;Compartilhar;;;Peixe à Delícia;118;"Peixe grelhado, bechamel, banana e queijo. Arroz.";"350g de filé de peixe grelhado, molho bechamel, banana da terra e queijo gratinado. Acompanha arroz branco.";peixe-a-delicia.jpg;;1;1;;;
40;285;Compartilhar;;;Peixe Albuquerque;159;"Pescada crocante, risoto de banana e batatas.";Pescada amarela crocante com risoto de banana da terra e batatas;peixe-albuquerque.jpg;;1;1;;;
41;173;Compartilhar;;;Peixe ao Molho de Camarões;129;"Peixe grelhado, molho pomodoro com camarões. Acomp.";"350g de filé de peixe grelhado, envolto no molho pomodoro com camarões salteados. Acompanha arroz branco e batata sauté.";peixe-ao-molho-de-camaroes.jpg;;1;1;;;
46;70;Sobremesas;;;Taça Sales;29;"Taça: creme de ninho, geleia de morango e chantilly.";"Creme de ninho servido na taça, com geleia de morango e finalizado com chantilly e morangos frescos.";taca-sales.jpg;;1;1;;;
57;56;Bebidas;;;Água Com Gás;5;Garrafa;;agua-com-gas.jpg;;1;1;;;
58;57;Bebidas;;;Água Sem Gás;5;Garrafa;;agua-sem-gas.jpg;;1;1;;;
59;11;Bebidas;;;Minalba Agua C/Gas Premium;10;Garrafa;;minalba-agua-cgas-premium.jpg;;1;1;;;
60;12;Bebidas;;;Minalba Agua S/Gas Premium;10;Garrafa;;minalba-agua-sgas-premium.jpg;;1;1;;;
61;205;Bebidas;;;H2Oh Limão;10;Garrafa;;h2oh-limao.jpg;;1;1;;;
62;50;Bebidas;;;Coca-Cola;7;Lata 350ml;;coca-cola.jpg;;1;1;;;
63;52;Bebidas;;;Coca-Cola Zero;7;Lata 350ml;;coca-cola-zero.jpg;;1;1;;;
64;120;Bebidas;;;Fanta Laranja;7;Lata 350ml;;fanta-laranja.jpg;;1;1;;;
65;281;Bebidas;;;Guarana - Kuat;7;Lata 350ml;;guarana---kuat.jpg;;1;1;;;
66;51;Bebidas;;;Guarana Zero;7;Lata 350ml;;guarana-zero.jpg;;1;1;;;
67;283;Bebidas;;;Pepsi Zero;7;Lata 350ml;;pepsi-zero.jpg;;1;1;;;
68;77;Bebidas;;;Sao Geraldo Zero;7;Lata 350ml;;sao-geraldo-zero.jpg;;1;1;;;
69;207;Bebidas;;;Sprite Zero;7;Lata 350ml;;sprite-zero.jpg;;1;1;;;
70;121;Bebidas;;;Schweppes Citrus;7;Lata 350ml;;schweppes-citrus.jpg;;1;1;;;
71;53;Bebidas;;;Tonica Antarctica;7;Lata 350ml;;tonica-antarctica.jpg;;0;1;;;
72;58;Bebidas;;;Redbull;16;Lata 355ml;;redbull.jpg;;1;1;;;
