id;categoria;nome;descricao;preco;imagem;imagem_url;ativo;obs1;obs2
1;Entrada;Carne de Sol;Com macaxeira;85.00;;https://drive.google.com/file/d/SEU_ID/view;0;;
2;Entrada;Batata Frita;260g de batata com molho da casa e parmesão;23.00;batata-frita.jpg;;1;;
3;Entrada;Pasteizinhos;6 unidades com carne seca e molho da casa;34.00;pasteizinhos.jpg;;1;;
4;Entrada;Bolinha de Carne Seca;12 unidades com molho da casa;32.00;bolinha-de-carne-seca.jpg;;1;;
5;Entrada;Bruschetta da Casa;Pão italiano com tomate, manjericão e pesto;32.00;bruschetta-da-casa.jpg;;1;;
6;Entrada;Pão Antônio;Pão italiano com filé mignon e molho roquefort;52;pao-antanio.jpg;;1;;
7;Entrada;Queijo Cynthia;Creme de queijo com geleia de pimenta;99;queijo-cynthia.jpg;;1;;
8;Entrada;Camarão Tetê;Camarões empanados com cream cheese;54;camarao-tete.jpg;;1;;
9;Entrada;Salada Proteica;Mix de folhas com filé mignon e parmesão;38;salada-proteica.jpg;;1;;
10;Entrada;Rolinho de Salmão;4 unidades com arroz, cream cheese e salmão;31;rolinho-de-salmao.jpg;;1;;
11;Entrada;Panelinha de Filé;Filé com batata e cebola roxa;39;panelinha-de-file.jpg;;1;;
12;Entrada;Panelinha Teixeira;Filé com molho e pão italiano;45;panelinha-teixeira.jpg;;1;;
13;Entrada;Crispy de Queijo Gouda;Queijo empanado com geleia;33;crispy-de-queijo-gouda.jpg;;1;;
14;Individual;Salmão Imperial;Salmão grelhado com acompanhamentos;77.00;salmao-imperial.jpg;;1;;
15;Individual;Massa Filé Mignon;Filé com massa grano duro;74.00;file-mignon-massa.jpg;;1;2;3
16;Individual;Parmegiana Individual;Filé empanado com queijo e massa;62.00;parmegiana-individual.jpg;;1;;
17;Individual;Massa Mariah;Massa com camarão e molho;69.00;massa-mariah.jpg;;1;;
18;Individual;Risoto de Shitake;Risoto com filé e shitake;68.00;risoto-de-shitake.jpg;;1;1;
19;Individual;Risoto de Salmão;Risoto com salmão;92.00;risoto-de-salmao.jpg;;1;1;
20;Individual;Risoto de Camarão;Risoto com camarão;79.00;risoto-de-camarao.jpg;;1;1;
21;Individual;Risoto Yara;Risoto especial;68.00;risoto-yara.jpg;;1;1;
22;Individual;Risoto Dani;Risoto especial;76.00;risoto-dani.jpg;;1;1;
23;Individual;Risoto Montenegro;Risoto com filé mignon;71.00;risoto-montenegro.jpg;;1;1;
24;Individual;Massa Negreiros;Massa com camarão e burrata;69.00;massa-negreiros.jpg;;1;;
25;Individual;Polpetone Anchieta;Carne recheada com massa;69.00;polpetone-anchieta.jpg;;1;;
26;Compartilhar;Mignon ao Roquefort;Filé com molho gorgonzola;131.00;mignon-ao-roquefort.jpg;;1;;
27;Compartilhar;Mignon à Parmegiana;Filé empanado com queijo;119.00;mignon-a-parmegiana.jpg;;1;;
28;Compartilhar;Peixe ao Molho de Camarões;Peixe com camarões;129.00;peixe-ao-molho-de-camaroes.jpg;;1;;
29;Compartilhar;Peixe à Delícia;Peixe com banana e queijo;118.00;peixe-a-delicia.jpg;;1;;
30;Compartilhar;Camarão Benedito?s;Camarão especial;139.00;camarao-beneditos.jpg;;1;;
31;Compartilhar;Lasanha à Bolonhesa;Lasanha artesanal;124.00;lasanha-a-bolonhesa.jpg;;1;;
32;Compartilhar;Carne de Sol João;Carne de sol com arroz;126.00;carne-de-sol-joao.jpg;;1;;
33;Compartilhar;Filé Medeiros au Poivre;Filé com molho poivre;149.00;file-medeiros-au-poivre.jpg;;1;;
34;Sobremesa;Bolo Matilda;Bolo de chocolate com ganache;30;bolo-matilda.jpg;;1;;
35;Bebida;Água com gás;Garrafa 500ml;5;agua-com-gas.jpg;;1;;
36;Bebida;Água sem gás;Garrafa 500ml;5;agua-sem-gas.jpg;;1;;
37;Bebida;Coca-Cola;Lata 350ml;6;coca-cola.jpg;;1;;
38;Bebida;Coca-Cola Zero;Lata 350ml;6;coca-cola-zero.jpg;;1;;
39;Bebida;Guarana Zero;Lata 350ml;6;guarana-zero.jpg;;1;;
40;Bebida;Sao Geraldo Zero;Lata 350ml;6;sao-geraldo-zero.jpg;;1;;
41;Bebida;H2OH Limão;Garrafa 500ml;10;h2oh-limao.jpg;;1;;
42;Bebida;Corona Extra;Cerveja 330ml;13;corona-extra.jpg;;1;;
43;Bebida;Stella Artois;Cerveja 330ml;12;stella-artois.jpg;;1;;
44;Bebida;Heineken;Cerveja 330ml;12;heineken.jpg;;1;;
45;Bebida;Heineken Zero;Cerveja sem álcool;14;heineken-zero.jpg;;1;;
46;Bebida;Baden Baden Cristal;Cerveja 600ml;23;baden-baden-cristal.jpg;;1;;
47;Bebida;Baden Baden Witbier;Cerveja 600ml;23;baden-baden-witbier.jpg;;1;;
